Date,Product_ID,Product_Category,Region,Units_Sold,Revenue,Marketing_Spend,Holiday_Indicator,Temperature,Fuel_Price,Consumer_Confidence,Season,Forecast_Demand
75,103,0,1,87.0,16761.295509452513,9419.982746744165,0,27.929074360579097,0.997706960434706,83.45459121104449,1,283.65
76,153,2,3,104.0,10957.913488293045,7679.560638119895,0,18.419194959988737,1.9495364943999,73.44868793056204,1,248.02
77,192,2,1,117.0,22791.558130003392,7177.926191854735,0,14.5167559586675,0.8051892063132569,66.18952243789846,1,234.64
78,162,1,2,75.0,7056.9010052026615,4947.008775392997,0,25.11125962639816,1.079422372775097,63.1184538017224,1,186.1
79,117,0,3,139.0,8237.563552653131,3147.5240803987967,0,13.10671694464731,1.611132939238165,109.24814299959206,1,202.52
80,189,3,2,109.0,12263.14675752231,7118.767672575165,0,37.321719369451046,1.8242290758670063,116.73369716073842,1,260.66
81,143,4,0,112.0,15340.436605319692,6474.709617553893,0,23.274407138289217,1.9922687711527192,106.35343916519682,1,279.92
82,133,1,3,101.0,10345.773085787978,7537.079753635027,0,36.18952437131767,1.0079127643274512,105.5423304687124,1,264.08
83,173,3,0,104.0,12693.72415105834,4292.132666502359,0,31.278111509168905,1.168572607627822,84.91075759978284,1,173.58
84,161,4,0,100.0,9495.365379089397,9882.313844618711,0,35.71652688495564,1.8702224252496784,98.47085798089132,1,313.43
85,199,2,1,124.0,14192.686813754295,1603.0778988567956,0,36.51874267763696,0.8389998990164308,100.27293566545228,1,138.18
86,113,2,0,104.0,19912.590978839635,1717.3145533259262,0,11.598804952371536,1.6799861867667965,75.43674097332656,1,139.12
87,194,0,1,119.0,13086.383287328232,9251.882628225536,1,31.757735435024912,1.3076623076264349,104.32077010056246,1,332.99
88,147,4,1,95.0,6229.371721038351,6829.3579142713925,0,16.796430892518178,1.62658162385421,68.76701798544244,1,241.77
89,114,2,1,108.0,16910.034322204374,3937.00661363894,0,39.6789071683567,1.4298801462079784,77.6073711910702,1,172.32
90,171,2,1,88.0,7107.337811259741,7857.574819305636,0,33.352089223778975,1.5525342642084952,95.38250260575902,1,254.71
91,177,0,1,128.0,21365.41321572484,5074.960490677358,0,10.112950084096717,1.599996452287395,92.37445540506658,1,223.8
92,186,3,2,87.0,2630.1455474876416,1190.093579269589,0,37.8224896540661,1.557495133756164,102.27488808566636,1,135.8
93,161,2,1,98.0,7819.619516197316,6859.933024779616,0,18.769177066035315,1.5974755735364936,94.97482517531446,1,247.83
94,139,1,3,98.0,3624.50878171768,3188.007433823706,0,22.49960798909349,1.482017519162777,62.972607272928265,1,159.23
95,184,1,1,97.0,3429.649211332217,2038.0160494906104,0,28.36856736783601,1.656674430033645,118.6621798274703,1,170.48
96,179,3,2,119.0,16482.704357473605,3027.458642494638,0,37.48929382132656,1.731228167859472,105.80933745698508,1,182.63
97,181,4,3,98.0,8757.305895877635,5285.420930163236,0,37.81979869762182,1.7455225025534054,112.82587184496047,1,235.55
98,152,0,3,132.0,23346.33966156627,1448.7078815491625,0,26.904152881922176,1.824215718551476,108.23568954434737,1,161.41
99,123,1,2,88.0,9939.857383916702,8948.371481015929,0,19.50173487434345,1.1796829046033288,72.7436216465972,1,277.09
100,125,1,3,107.0,7828.310439778165,6039.262149124257,0,18.375698251168217,1.694928117013223,115.9625253091896,1,238.01
101,188,3,2,88.0,13178.879985321164,3636.9656210387416,0,20.931912963354367,1.9359935495243952,119.04502185818492,1,191.01
102,159,4,0,112.0,14820.178518367706,7183.043632798147,0,15.415410506170328,1.240961694722179,64.72033262982738,1,254.8
103,140,4,0,103.0,16884.48427017343,8238.128472819471,0,30.09499054960288,1.7331693388779534,69.5061125493277,1,250.49
104,128,3,1,100.0,13584.588974153929,6525.321651851322,0,25.83406153618862,1.1497553334705055,119.41763274575568,1,259.66
105,114,1,1,127.0,6357.926714881317,2822.452137194712,0,33.203941008094,1.01068311852958,77.60787708890487,1,173.24
106,144,0,1,90.0,12659.02261020647,1992.5957813179928,0,12.82333950668298,1.3357122705614688,109.18816032484386,1,168.83
107,164,1,1,115.0,10405.068390647271,8739.09727330048,0,21.997174730205035,1.76783859093592,64.44858419709468,1,273.37
108,188,4,2,87.0,8992.819853833516,3112.1867219656647,0,17.19588604602674,1.168547023587142,103.9464555842413,1,169.35
109,170,1,0,105.0,19517.57048143581,1180.7418760974797,0,26.05558618778215,1.153927241861037,102.08369992944162,1,136.1
110,108,0,2,78.0,6613.895210020369,6786.118973388268,0,24.047319510358392,1.133210042207589,116.25867420973938,1,247.28
111,187,2,3,89.0,11583.585470713237,2375.967968778816,0,23.48696353567087,1.0617451816669656,103.72300420476152,1,130.95
112,100,1,3,100.0,8542.671201420311,9918.728377881176,0,19.469608958318275,1.5333331913846604,62.48397722648728,1,275.51
113,107,3,3,138.0,5113.030736287547,8827.577485654707,0,31.80536723422381,1.0920042622449369,87.02716688562454,1,309.55
114,187,2,3,103.0,10468.359841575491,6476.01153401096,0,24.447031127852707,1.9218833864832607,80.87343686329604,1,232.02
115,162,3,3,134.0,17081.123487566805,8504.790783476892,0,16.067313394395786,1.2151172560850578,94.24357928696764,1,277.58
116,110,3,0,105.0,9801.812219510615,5234.821306918266,0,26.4234241869938,1.450878508370414,85.69935306086765,1,204.21
117,180,3,2,93.0,8399.751931512807,8096.376200161917,0,27.900164681181817,1.2910045545690227,76.85058903718044,1,252.22
118,107,1,3,131.0,21964.52535762988,6818.80197157436,0,10.641390317959972,1.9552588809090428,99.66269236113546,1,259.96
119,134,4,1,108.0,2737.079749307301,1257.8018317269034,0,16.113359825455404,1.308813804093359,78.66815631733174,1,138.61
120,134,2,0,87.0,6368.86731295028,9538.819007975582,0,17.27211730381847,1.4764333378736447,111.03943963709574,1,311.06
121,132,0,1,108.0,17940.561238932994,8748.276203770183,0,17.442254864893943,1.7161079119868454,79.37962725374305,1,257.08
122,104,4,0,93.0,17269.67468775088,9580.666515338997,0,17.165376110800924,1.0055558446610615,90.92005586225449,1,291.68
123,140,1,0,58.0,5464.407676178247,7582.293411047341,1,18.14923514700748,0.8391701630704007,109.56130267786486,1,262.36
124,127,3,1,117.0,21058.006761709366,4708.548294954599,0,17.88181678764483,1.345903898344056,109.37335217376004,1,204.24
125,106,0,1,119.0,6641.0832159182,2862.86700957654,1,36.522065119708174,1.4607692815560849,95.16552942739446,1,208.77
126,172,2,3,134.0,8020.820876787364,2619.967128092821,0,19.58943616734865,1.1444732464422849,82.79524972706308,1,177.91
127,171,4,1,105.0,18093.017017452785,2304.2462354899444,0,20.49288143098735,1.3550055990029022,93.47636918675944,1,164.33
128,111,4,2,91.0,16615.36180315933,2985.486783773659,0,17.98531787749463,1.538192547001802,110.98101302593236,1,165.34
129,133,0,0,112.0,6731.764282127377,5955.724120126558,0,39.02723078627673,1.9679275487672063,73.12687310685054,1,215.09
130,132,1,0,112.0,3435.9756697672,7153.705569590569,0,26.064724007051257,1.5221325869613591,67.34910648368395,1,238.25
131,147,2,3,127.0,4604.809773083878,3826.509049146414,0,28.31638342622549,1.33862875562497,94.92193337305474,1,199.09
132,122,0,0,93.0,6235.51518420032,5938.722725570771,0,32.06461786189308,0.827034192755047,94.44257831319658,1,217.54
133,161,3,1,90.0,14135.475049778075,4071.273935084652,0,20.011422063681195,1.172699878314862,77.58889373351894,1,183.28
134,187,2,0,79.0,8832.083791263141,7268.589763065963,0,39.06341289294457,1.2301831563975465,86.06764847691078,1,262.47
135,136,4,0,103.0,10506.617135180948,9896.37598288226,0,14.569785177230129,1.3723334835797565,65.3117082806683,1,298.21
136,198,0,1,61.0,7633.85644420269,7201.152715445952,0,23.73443801483033,1.738605275324147,67.84561621898159,1,195.07
137,143,4,1,107.0,19285.697165281705,1531.27519153888,0,14.363177870573006,1.7310648514144649,109.69991097832268,1,151.23
138,185,4,0,103.0,3736.579237147291,5295.114620505904,0,33.7112723878115,1.814343180117869,87.86839002109004,1,199.76
139,190,4,2,102.0,14795.134983407632,7933.487433710777,0,13.219530760657983,1.1479910706398029,65.98878324688987,1,248.79
140,134,1,1,92.0,17187.65640405351,5880.1744562822405,0,26.61698810240749,1.2157512098213157,117.71210774295432,1,231.3
141,164,4,2,120.0,7008.360901981439,9559.56726750608,0,13.144188250019967,0.9802866686888666,72.59648668383461,1,296.9
142,198,3,2,106.0,18104.6957885518,1492.945112837901,0,23.57985664554129,1.8288989314201576,79.01451995145563,1,122.62
143,146,3,3,76.0,11068.97804318999,3620.3998896611024,0,18.409239726178782,1.582682198119171,118.35210171471712,1,182.4
144,177,2,2,75.0,1695.3252369874533,2986.4629687580973,0,37.098902738779785,0.8930598869853887,70.85315109509516,1,120.22
145,102,4,3,69.0,4256.617070097632,7908.599815872299,0,11.592873852128765,1.1643883973826268,118.12352660308687,1,262.5
146,100,4,2,97.0,12518.049525242075,5714.137616356061,0,29.498128894007348,0.98327006157853,103.3343896696409,1,215.13
147,104,0,3,65.0,7178.083972047176,2245.097902177052,0,30.85753698873369,1.9630737877043312,85.61537046945465,1,129.5
148,189,1,1,106.0,12193.023698212604,3570.339371152852,0,36.669463071436255,1.189523370277406,95.69575250122976,1,169.41
149,113,2,0,110.0,6792.222407215088,5703.933906967373,0,36.331883689334816,1.395760782282863,90.47352545931552,1,227.63
150,126,4,0,66.0,9339.041232018484,9965.160831282845,0,39.31168859822795,1.1814824187570496,108.28426716713784,1,306.82
151,108,0,3,79.0,5368.469234720967,4278.631216738346,0,17.617280630413163,1.3691558387446647,63.77057068347192,1,158.91
152,178,1,1,82.0,7388.06010522198,2411.434876057258,0,18.24476128443323,1.9983465749203857,108.80351842884198,2,145.66
153,114,2,3,99.0,8554.081620982957,5473.598732124922,0,21.91878184232845,1.1448665313283524,118.23726429107074,2,232.32
154,189,2,3,113.0,15928.988949918736,3791.677395097592,0,26.12730941909421,1.1391464641137767,85.77437614842499,2,188.63
155,141,4,1,46.0,1667.29286673704,6093.701414456933,0,21.01425755803836,1.2456554854593451,71.48414141112316,2,171.4
156,176,2,2,73.0,4160.820579668033,5200.392725067034,0,32.208892316346066,1.0031801280456074,66.52855163427678,2,192.15
157,150,0,2,73.0,4094.531508801792,7205.4092954127045,0,10.256351557289598,1.6867900888553955,80.80533384966051,2,236.4
158,162,2,1,50.0,1975.822067041391,9228.616379807649,0,10.529629467345584,1.255208361489646,67.83925916093878,2,261.31
159,195,3,3,67.0,3843.595444767696,2804.6291569187592,0,31.48170279492749,1.4970305327527595,73.78269700593292,2,138.64
160,151,0,0,85.0,10988.02209922732,8390.620633315582,0,36.49363667652226,1.5935637058976173,99.2661666662771,2,287.32
161,195,1,3,70.0,10625.318953014772,9543.39143993682,0,33.296423611965494,0.8425323589544512,84.94669148235101,2,256.62
162,103,1,2,44.0,6109.603299995451,4362.48713366166,0,13.512748402835234,1.572803350558709,114.06122375493312,2,185.92
163,193,4,1,131.0,13824.936293589206,2022.964305370289,0,38.04922080795525,1.4393232309758357,87.83418322515782,2,159.08
164,122,4,1,78.0,2296.1813781887336,8397.200537046025,0,25.657378555207043,0.899420492459519,69.2460064501073,2,243.93
165,114,3,1,74.0,14253.973382347844,7309.86228494415,0,32.26885456256409,0.9493838249286084,68.31848964940004,2,217.61
166,142,1,2,50.0,2512.6881475374275,2914.4098435064657,0,16.031385929895364,1.3289581093238292,101.5871098614183,2,144.18
167,128,1,3,76.0,10664.004347149576,5007.012338642951,0,26.463868928024617,1.2155692575728758,98.03436508075308,2,202.76
168,135,1,1,67.0,12349.46082271426,6201.929858408989,0,19.90182411530849,1.3249949659820586,102.47224507367042,2,210.81
169,112,1,0,31.0,4513.596195573917,2528.686779862818,1,39.24282320586187,1.5626181015537894,80.32544744343953,2,132.07
170,131,2,1,47.0,2784.699955998519,7434.215439666038,0,24.225884194381173,0.9853097735399988,114.9018625173688,2,261.97
171,170,0,3,83.0,6377.996703534504,7208.944672549209,0,32.66730956814074,1.5949335376549585,66.82571785870634,2,220.69
172,158,0,2,106.0,2696.327942571696,8984.139512604657,0,28.096958090789748,1.7817516625070504,61.97091247030038,2,270.32
173,185,3,0,73.0,9511.643284665372,6105.456679853755,0,12.828962461688432,0.8035138785098481,104.52879305112684,2,232.37
174,127,2,0,87.0,11339.470080605332,6168.817276260732,0,26.287832662228865,1.2421563204433703,100.62448963115168,2,210.13
175,165,1,1,61.0,9185.996383512644,6574.4862037237135,0,26.20647602404028,1.1302011085062926,89.61363114464258,2,215.35
176,141,1,3,62.0,1362.7185883159343,3464.049352437159,0,31.471280475297235,1.3183997329959676,62.621581781669946,2,113.64
177,144,4,1,85.0,14212.97171901434,7827.452661502026,0,19.657240498226727,1.538334459794148,66.8520257102594,2,227.18
178,161,4,0,95.0,14531.95737154527,6962.493351363681,0,35.819563427987944,1.0250831615846114,71.71789981105542,2,220.21
179,156,3,1,87.0,3946.284305147231,8552.310629148198,0,28.67810502088366,0.9609147421811652,98.32339290371208,2,263.64
180,105,1,3,39.0,3220.3387970682297,7917.274044753436,0,11.180239421613956,1.6746060926194513,99.78284221633488,2,219.16
181,127,3,2,58.0,7826.199881920023,6747.150074536562,0,31.20507365393638,1.6229037687366474,100.61486039256518,2,222.06
182,127,2,0,64.0,6991.5799993125775,2448.0293581863907,0,37.20900730125503,1.3530133927758077,108.18293941943632,2,155.45
183,143,0,3,53.0,2157.9992776180434,9272.32590887947,0,30.494412859163965,1.4015872732637742,61.48776264793815,2,268.38
184,183,1,1,65.0,2321.9408890981017,4304.909632448335,0,21.39991913183868,1.1238334904088925,98.5957180459275,2,164.1
185,129,2,0,73.0,11728.335770280324,9678.68711665086,0,27.7194649181856,1.1950149531442684,75.09378407618908,2,282.2
186,161,1,1,75.0,3605.556093240433,4616.837218004925,0,15.141948130584158,1.184099092112995,94.262256999905,2,196.55
187,174,4,1,88.0,4485.947955058226,2313.4446341485373,0,28.0376642067724,1.6716021303792283,104.27254192082012,2,152.41
188,191,3,2,47.0,7969.60964051817,8963.557727497013,0,25.029782336047766,1.4667717221551928,103.20282145100802,2,266.16
189,188,4,1,26.0,3384.813489755856,8155.528661158346,0,10.784730653731458,1.6753864032240118,77.27405750848314,2,221.95
190,161,0,1,59.0,7602.079758595187,8076.664505018256,0,19.65669658646631,1.5088599909087823,81.31847540491752,2,242.18
191,196,4,3,89.0,9459.119257240707,1804.6967565800635,1,15.737417473048833,1.4547635705804085,115.03819835312645,2,159.65
192,100,1,1,41.0,5019.183206288907,8913.518497467703,0,21.71955780286849,1.1846983441794885,110.93322707315578,2,238.4
193,126,4,2,63.0,8084.068288816337,6367.605734465749,0,17.25497288004846,1.2745589717557229,75.42039808193852,2,199.38
194,161,1,1,63.0,12235.149503126202,5233.201626456583,0,35.02746093611573,1.8648774513037576,95.22226250047524,2,182.41
195,176,0,1,52.0,3127.030157896542,9218.544592718246,0,30.930504670041486,1.4911160008143016,66.43658955472229,2,246.01
196,102,4,1,47.0,2755.198070665884,6994.372172337463,0,32.20344224913632,1.4293463568631462,99.23207619360632,2,227.32
197,169,3,0,28.0,848.381178034791,2197.2774146768734,0,20.826019304900804,0.8637577717358688,97.281015775196,2,123.74
198,171,3,2,0.0,0.0,5675.834584510333,1,10.103390954842263,1.6050670037145016,75.8350418074196,2,172.94
199,126,3,0,23.0,2733.034628604164,6729.5492996280655,1,16.574610766011943,1.6232209375273672,85.310385492591,2,199.21
200,108,4,2,36.0,1440.8300409262256,9086.956279584709,0,32.65894613295954,1.6287878837887495,106.9383929003385,2,252.92
201,161,4,2,65.0,5565.105540882791,3519.046915074101,0,28.0851042190239,0.9094665371188294,75.32628208907738,2,139.32
202,136,4,3,41.0,2138.5344553442847,8148.104970826737,0,26.157344969890907,1.1605463120185888,106.10198731514096,2,241.85
203,196,1,0,31.0,2469.6681114368075,8198.316134512716,0,18.415598064242644,1.245471255484353,78.98314148790607,2,217.39
204,150,0,2,23.0,4398.233661293686,2152.445363413127,0,12.272269807611655,1.7917962751136831,110.37390466508393,2,121.06
205,143,3,2,53.0,7578.861722920245,1155.0986448028564,0,33.545994107000254,1.9768072809390065,61.8302313648815,2,77.34
206,123,1,3,67.0,1431.283355589412,6232.687263086108,0,11.159667039840423,1.2976971121708731,75.48888105998208,2,224.43
207,178,3,0,60.0,3927.087196868535,8105.309976618872,0,11.774094065877785,1.465136848798975,70.65743522540126,2,218.71
208,158,1,1,50.0,1093.2539237000112,5989.877418945674,0,18.84805706893125,0.8088047104118754,113.43414114608538,2,209.57
209,131,4,3,8.0,1189.4106382269003,8320.127366798879,0,27.18801032192841,0.8105351377053414,85.71118674139356,2,197.95
210,195,3,2,30.0,3134.877731099583,6600.728264207627,0,39.76679549768407,0.8894002748663624,92.73604400179164,2,206.86
211,187,4,0,75.0,14919.252339494256,6879.631255050703,0,12.71924726176482,1.6633597306926011,74.52460785905424,2,220.32
212,151,3,2,58.0,8818.609245076552,1253.3898318627305,0,24.19512397810876,1.0137639173852206,67.70132668694312,2,95.78
213,161,2,3,4.0,452.897318749675,1797.383826274835,1,28.05259909180569,1.7094188127834982,95.89454022854784,2,97.32
214,157,1,3,33.0,5439.950243556324,7525.266559442873,0,34.6931572134896,1.318251381793584,76.99796076265616,2,219.66
215,151,2,0,40.0,5874.586288885348,7865.589541386602,0,30.68841745345173,1.8199628104483472,115.7313936573466,2,245.61
216,111,1,3,17.0,1085.955103566121,5879.601802578933,0,34.23224738835298,1.8443796483227304,88.58098941544216,2,166.63
217,138,0,3,14.0,1616.2508525653416,6311.486147059311,0,25.674070213550216,1.855799489787659,68.28958456158901,2,168.61
218,101,3,1,33.0,3962.632425514381,6529.292558605698,0,23.019124105119,1.452203165691797,61.4274627377647,2,172.2
219,102,0,2,15.0,1518.3255862410692,1944.9218696855448,0,28.56184951826063,1.746208916278741,73.93680438895768,2,75.18
220,155,0,1,14.0,731.5654095955122,7011.177438258371,0,37.026124284439874,1.5942946804306746,79.19538579129599,2,182.07
221,180,1,1,22.0,1324.5414445652327,5306.229790858453,0,26.52541486483268,1.024055831909667,72.41805240855098,2,152.79
222,158,2,0,26.0,1835.3018364739005,6422.706790185512,0,28.16779357575192,1.2578200706122993,81.93608636967767,2,185.04
223,101,4,3,28.0,611.6859528659453,6068.276459294703,0,20.139284596375425,1.9548348225056524,112.7378709396754,2,194.09
224,101,1,2,10.0,1850.4990059051167,7867.00223608635,0,27.883643366495768,1.72707764168649,62.87715113017267,2,186.13
225,191,4,2,22.0,3156.9401266705763,3867.114373443832,0,28.83292368449351,1.1155926523444049,108.0737148307144,2,152.17
