Age,Income,City,Marital_Status,Score,Purchased
57,88450,Phoenix,Single,0.6302087483291442,0
21,41352,Los Angeles,Divorced,0.6098318054986945,1
19,75069,New York,Divorced,0.5634389273484588,1
23,34397,Los Angeles,Married,0.3804197042327977,0
59,61555,Chicago,Divorced,0.5484997216514768,0
21,66959,Phoenix,Married,0.5964854749854216,0
46,20728,New York,Divorced,0.5456868884954734,1
35,70517,New York,Single,0.4444194527512015,1
43,86234,New York,Married,0.0146670570462638,1
61,59954,New York,Married,0.587061707701151,1
51,67280,New York,Married,0.1684443851427196,0
27,99459,Los Angeles,Single,0.6425759689471896,0
53,36779,Phoenix,Single,0.759344327922866,0
31,83932,Chicago,Single,0.5004453091307415,1
48,92936,Chicago,Single,0.5423636649797383,0
32,44466,Chicago,Single,0.9514785596659912,1
25,56939,Chicago,Married,0.8471673613725742,1
31,89896,Los Angeles,Single,0.91423651595147,0
40,55270,Houston,Married,0.8137662883195864,0
57,79163,Phoenix,Single,0.1089183418467314,0
38,102637,New York,Divorced,0.1489918559701947,1
33,71934,Houston,Married,0.5266237972689596,1
62,84895,Chicago,Divorced,0.2460696587979982,0
35,52307,Houston,Married,0.4766954750411591,0
64,74098,Phoenix,Divorced,0.3943653238183502,1
41,80921,New York,Single,0.5494142384304533,0
43,25486,New York,Single,0.7468757161358227,1
42,28335,Phoenix,Single,0.7154909070992744,1
62,106900,Phoenix,Married,0.5212341324853343,0
58,109112,Chicago,Divorced,0.8223934188170581,0
46,117203,New York,Single,0.4308620915380333,0
32,31130,Houston,Divorced,0.8967142898401224,0
62,107508,Los Angeles,Divorced,0.0712802700551639,1
18,80566,Los Angeles,Single,0.9546600300333076,1
42,86703,Phoenix,Single,0.6546930814313482,1
24,47192,Chicago,Divorced,0.3800745089372053,0
26,21062,Los Angeles,Single,0.1971541265728773,1
41,104076,New York,Single,0.4791832294435999,0
18,109780,Phoenix,Single,0.1945583231853009,0
61,41545,Houston,Married,0.1663316077431421,0
25,41689,Phoenix,Divorced,0.6173517574129742,0
41,31174,Houston,Divorced,0.5230847245817847,0
28,108461,Phoenix,Married,0.6700960346109417,0
34,29348,Phoenix,Divorced,0.9296058774219892,1
25,43714,Phoenix,Single,0.5322602133390402,0
52,58102,Houston,Divorced,0.5809320532627977,1
52,94460,Houston,Single,0.0896263391549421,1
50,109930,Phoenix,Married,0.7176357859086295,0
22,26801,Los Angeles,Single,0.3999052068041562,0
59,92267,Chicago,Divorced,0.9767252386625788,0
56,68136,Chicago,Divorced,0.8231740155956603,1
58,43625,Chicago,Divorced,0.5224810405161183,0
45,102873,Houston,Married,0.123222654172166,1
24,92592,Houston,Married,0.8594157932805891,0
26,97052,Los Angeles,Divorced,0.7997810954240216,0
25,64261,Chicago,Single,0.184585129537033,1
29,21542,Chicago,Married,0.2952782892203101,1
51,41677,Phoenix,Divorced,0.7934072581478373,0
50,66732,Houston,Divorced,0.1852284465474096,1
40,70343,Chicago,Married,0.9177524891713772,1
41,59081,Los Angeles,Married,0.4245274251963619,1
54,82856,Los Angeles,Married,0.0870389625876586,1
52,113105,Chicago,Single,0.8157486435042809,1
61,108858,Houston,Single,0.3735096830383876,0
57,39065,Los Angeles,Divorced,0.526499194153781,0
39,103460,Phoenix,Married,0.1123043444112191,1
44,108092,Los Angeles,Single,0.0025840148449823,0
52,74693,New York,Married,0.6379852057932976,0
18,46962,New York,Divorced,0.5151751703337316,1
52,48295,Houston,Single,0.5935385691231472,0
54,33807,Chicago,Single,0.7937438503805163,1
64,62348,Houston,Single,0.6466059134228601,1
31,46432,Houston,Divorced,0.1747734428273771,0
20,103285,Houston,Married,0.3607725191105998,1
18,111792,Houston,Single,0.9058911047877604,1
22,77854,Phoenix,Divorced,0.7699447002516789,1
43,60262,Phoenix,Married,0.5566370579367172,1
31,57080,Los Angeles,Divorced,0.2556449978092723,1
56,21324,New York,Married,0.302060501834795,0
44,111267,Houston,Divorced,0.7319580675856345,0
26,55909,Los Angeles,Married,0.8511742608527708,1
32,109339,New York,Single,0.6714246695306144,1
32,39870,Chicago,Married,0.8095299757684418,0
43,54578,Phoenix,Divorced,0.766656135200406,1
59,92124,New York,Divorced,0.1497039679569577,0
30,46790,Chicago,Married,0.423944812913302,1
49,45289,New York,Single,0.1529838008285626,1
56,75129,Phoenix,Single,0.2352355848019848,1
49,113714,Phoenix,Married,0.8692596246510526,1
21,114246,Los Angeles,Married,0.4728919656331821,1
47,35485,Houston,Divorced,0.5353581018426609,1
54,64482,New York,Single,0.1784459652277721,1
40,106188,New York,Married,0.312271786048796,0
56,24748,Chicago,Single,0.2302461684278699,0
62,106769,Phoenix,Married,0.2061861645184264,0
32,29435,New York,Married,0.6379607933159701,1
60,23709,Phoenix,Single,0.2568838476457148,1
46,50355,New York,Married,0.6320154860204185,1
53,75771,Los Angeles,Married,0.0584546141085539,1
30,77799,Houston,Divorced,0.1417743935271018,1
49,33116,New York,Married,0.2745402540001254,1
24,45470,Phoenix,Married,0.5970469168956917,1
39,62344,Los Angeles,Married,0.675841245087376,0
45,62918,New York,Divorced,0.4427169667795271,1
19,72224,Chicago,Single,0.4457909145772289,0
59,59298,Houston,Divorced,0.7245168513986181,0
62,100219,New York,Divorced,0.0158210917655824,1
23,81629,Los Angeles,Single,0.3410900244742205,1
45,86040,Chicago,Divorced,0.8187070571192328,0
45,119518,Los Angeles,Single,0.6032194102133722,0
61,119835,Los Angeles,Divorced,0.3372271327554204,1
61,48016,Chicago,Single,0.905524792329674,1
37,43960,Los Angeles,Married,0.7726227274493825,0
47,53591,Chicago,Divorced,0.2648954472367334,1
28,102848,New York,Divorced,0.6452898375257169,1
45,87641,Chicago,Divorced,0.5957507281889567,1
42,56395,Chicago,Divorced,0.4011879140389827,0
56,42700,Houston,Married,0.3669560792048006,0
50,54620,Chicago,Divorced,0.3435604747757039,0
18,40559,Chicago,Married,0.6171557833956468,1
44,113045,New York,Married,0.4424099364806695,1
30,113396,Houston,Married,0.831863113251422,0
58,81642,Phoenix,Married,0.6696026161339619,0
20,96539,New York,Single,0.0699316057094341,0
56,41732,New York,Single,0.6401682238281661,1
23,111362,Phoenix,Divorced,0.2711474365001848,0
25,50354,Chicago,Single,0.5928119916534227,0
44,33843,Los Angeles,Single,0.6801319311034514,1
26,91726,Houston,Divorced,0.230829189154012,1
54,37640,Los Angeles,Divorced,0.4568586448803686,1
50,72528,Phoenix,Divorced,0.1903248628190678,0
59,58413,New York,Single,0.0523388757865083,1
61,72638,New York,Single,0.3784764234858691,1
41,72736,Houston,Divorced,0.362944271845992,0
32,88866,New York,Married,0.995480490704257,1
49,39087,New York,Divorced,0.4463523511976421,0
49,61430,Houston,Married,0.3335695494722004,0
41,44504,Houston,Married,0.5804750067166746,1
58,27114,Phoenix,Divorced,0.0887673941077684,1
29,98859,New York,Divorced,0.9616657359548132,1
56,119657,New York,Divorced,0.6349600455910331,1
19,30975,Phoenix,Single,0.7548378199408478,1
20,31023,Chicago,Married,0.1704779381739175,1
54,41447,Chicago,Single,0.4094778530052039,0
34,110469,Chicago,Single,0.4226891133961895,0
19,43959,Phoenix,Divorced,0.8218064439010868,1
19,86203,New York,Single,0.0012366797594094,0
45,49703,Phoenix,Divorced,0.300853108353255,1
40,29337,Phoenix,Married,0.981236374344304,0
54,66427,Chicago,Divorced,0.4748865435062186,0
49,81529,Los Angeles,Single,0.3825262802440082,0
50,104665,New York,Single,0.1198290020176463,1
18,51921,Chicago,Divorced,0.9741646286280156,0
36,53307,Los Angeles,Divorced,0.0200263559258244,1
19,47355,Los Angeles,Single,0.7371802250072431,0
61,24835,Houston,Married,0.7685998047885084,0
43,40159,New York,Married,0.2436567160638666,0
49,67605,Los Angeles,Divorced,0.6715584436130373,0
23,58088,Chicago,Married,0.0929291443793899,0
49,98752,Houston,Single,0.2570472664320798,1
21,75284,New York,Divorced,0.787901988292265,1
28,77043,Phoenix,Single,0.8646861920335402,0
34,55547,Chicago,Single,0.6084864126597913,0
55,117007,Los Angeles,Married,0.5068384318204826,0
41,102844,Los Angeles,Divorced,0.1593040206189803,0
22,47532,Chicago,Divorced,0.0631090330791501,1
51,54349,Los Angeles,Married,0.1176490284735586,0
23,65445,Houston,Single,0.2273573000960987,1
39,25713,New York,Single,0.3416745018969208,0
28,76178,Houston,Single,0.3809095255109872,1
33,69407,Los Angeles,Single,0.3463217685890035,0
50,90340,Phoenix,Divorced,0.2390553321972656,0
26,70990,New York,Divorced,0.5097242467516981,1
23,95672,New York,Married,0.8252861082328968,0
33,85545,Chicago,Married,0.2797035384714792,0
46,104791,Chicago,Divorced,0.9423870191022332,0
20,78141,Phoenix,Divorced,0.8733366617238478,1
37,43793,New York,Single,0.1617642113521096,0
53,76570,Phoenix,Single,0.7862759567570945,0
36,115084,Chicago,Married,0.5745873823177666,1
43,57892,Chicago,Divorced,0.5665753621714186,1
20,21015,New York,Married,0.3910427630581744,1
36,81813,Houston,Divorced,0.5011529991820097,0
37,47712,Los Angeles,Single,0.397178777429211,0
49,28415,Chicago,Married,0.5397326187599428,0
24,82292,Chicago,Married,0.6279500527726358,1
58,43833,Houston,Divorced,0.6743038064090484,0
50,24158,Houston,Single,0.5324811925594262,0
57,82680,Phoenix,Married,0.7214220673287317,1
56,40309,Phoenix,Single,0.1412780492755058,1
35,26970,Los Angeles,Married,0.2119824909022385,1
57,92474,Los Angeles,Single,0.8187350040742701,1
18,106704,New York,Divorced,0.3225279778464152,1
28,66540,Phoenix,Married,0.0228938249761202,0
45,40384,Chicago,Married,0.1537911496680311,1
42,38017,Phoenix,Single,0.2236144344963112,0
40,95880,Chicago,Single,0.9573228878945872,0
48,28702,Houston,Married,0.5730414289308493,1
47,20384,Phoenix,Divorced,0.9327307404762548,1
59,20404,Houston,Single,0.5751633504966249,1
52,60943,Los Angeles,Single,0.4793544401378518,0
24,67926,Los Angeles,Single,0.313727691194096,1
33,49189,New York,Married,0.6063709444333756,1
43,32763,Phoenix,Married,0.1391980246175298,1
19,38384,Houston,Married,0.898261627292706,1
18,80100,Chicago,Married,0.8293324051412837,1
29,118142,Los Angeles,Divorced,0.317531447876737,0
22,29860,Los Angeles,Divorced,0.9527975276012944,0
54,100642,Chicago,Married,0.8252007674155681,0
49,70612,Houston,Divorced,0.6663068858350397,1
26,43574,Houston,Single,0.1217619111252747,1
58,43524,Phoenix,Single,0.4782340230480723,1
52,89172,Phoenix,Single,0.5061075548467509,0
36,30916,New York,Married,0.2325513583653801,1
33,24809,Los Angeles,Single,0.0799653943593019,1
20,52201,Phoenix,Divorced,0.7767236304716927,1
37,73330,Houston,Married,0.122035052124395,0
41,33456,Chicago,Divorced,0.5942907505617747,1
50,76397,Houston,Single,0.9364491738836606,0
41,58765,Los Angeles,Single,0.8761051925980425,1
28,54816,Houston,Single,0.2777526237492611,0
25,65106,New York,Married,0.8514486375512653,0
53,73932,Los Angeles,Divorced,0.0003325061204894,0
55,37100,Chicago,Married,0.0176878096132572,1
57,77091,New York,Married,0.602553163842865,1
37,41949,Los Angeles,Single,0.3647982191445295,0
52,90080,Chicago,Married,0.3864608411591471,0
42,57744,New York,Married,0.5644410906788825,1
52,65543,New York,Single,0.1917824555918605,1
42,112193,Los Angeles,Married,0.2117553506654783,0
46,56187,Phoenix,Single,0.4846015870188647,1
35,27239,New York,Single,0.754253544343863,1
63,34489,New York,Single,0.6194977514075877,1
35,78017,Chicago,Single,0.2973550482368389,1
19,81877,Houston,Married,0.4303371775089212,0
52,63125,Los Angeles,Single,0.1706647585499984,1
33,69922,Los Angeles,Single,0.0746298143370817,1
58,114074,Phoenix,Married,0.7826960407441492,0
53,52049,Phoenix,Married,0.2653874091881946,0
50,57131,Los Angeles,Divorced,0.1777663878512482,1
21,62944,Phoenix,Married,0.6916180555693193,1
50,93963,Chicago,Married,0.618051674287186,1
31,44285,Los Angeles,Divorced,0.6331896260134641,1
38,57626,Phoenix,Married,0.2288946048466136,0
37,62808,Los Angeles,Married,0.232645538562681,0
25,108464,Houston,Married,0.2208026297856391,0
24,73871,New York,Married,0.1737525956622945,1
20,39198,Los Angeles,Divorced,0.6557236725616563,1
34,39758,New York,Married,0.8480158852494014,1
50,35254,Phoenix,Married,0.7243174696766612,1
29,64238,New York,Divorced,0.7920936337605432,0
39,21252,Los Angeles,Single,0.4047984290851998,0
39,59764,Houston,Divorced,0.6540757953719981,1
63,97709,Phoenix,Single,0.3542362404447745,0
47,57441,Los Angeles,Divorced,0.52550462196864,1
55,112234,Phoenix,Divorced,0.4816348465348623,1
55,73682,Chicago,Married,0.1768871451438544,0
62,79494,New York,Single,0.3870787603356308,1
25,101317,Chicago,Married,0.963822275482351,1
44,85215,Los Angeles,Single,0.248580257714942,0
44,98587,Houston,Divorced,0.1338037362794887,1
51,26949,Phoenix,Divorced,0.4185806216239353,1
38,75393,New York,Single,0.7903377358601481,0
47,93553,Phoenix,Married,0.5821482297799723,1
50,26941,Los Angeles,Married,0.6809748272382445,0
45,45934,Phoenix,Married,0.1896948481746772,1
64,43386,New York,Married,0.6189481930077215,0
50,81886,Los Angeles,Divorced,0.3235003949114737,0
22,95745,Phoenix,Divorced,0.8343033659547675,0
36,103251,Houston,Divorced,0.6292988060107362,1
21,114456,Los Angeles,Divorced,0.1988562777752959,0
52,73413,Los Angeles,Divorced,0.0646166798440861,0
34,76800,Houston,Married,0.0426332092870327,0
61,117239,Chicago,Married,0.3714085676501407,0
45,62318,New York,Married,0.2658511366543135,0
47,90173,Chicago,Married,0.646090123462508,1
46,90390,Phoenix,Divorced,0.4993338349786183,1
63,72329,Houston,Divorced,0.2660192780053807,1
23,63088,Chicago,Divorced,0.1492377779501761,1
52,59811,Los Angeles,Single,0.1271997626874496,1
58,75479,Phoenix,Married,0.8646603921404177,1
54,105392,Phoenix,Married,0.2434779684048672,1
41,107369,Chicago,Divorced,0.6517106479109683,0
46,39963,Chicago,Married,0.8106859279862663,1
63,75123,Houston,Married,0.6140813111847361,0
48,112705,New York,Divorced,0.8595652316469458,0
52,93477,Chicago,Single,0.3923937215284745,1
50,34388,Chicago,Single,0.9562221906489484,0
38,25569,Los Angeles,Single,0.1331450041780969,0
49,89836,Phoenix,Divorced,0.1021495296575381,0
40,56586,New York,Married,0.6586921462074435,0
50,32015,Los Angeles,Divorced,0.9428311414132616,1
20,65002,Houston,Divorced,0.8088834616363281,1
35,26254,Houston,Married,0.0764168594380514,1
42,37144,Chicago,Single,0.2793677139347164,1
59,44214,Chicago,Single,0.9303188848378235,1
48,100719,Houston,Divorced,0.2530584328007845,1
20,91774,Chicago,Single,0.7811704237869193,1
57,26090,New York,Divorced,0.8251321959287038,1
63,31637,Chicago,Divorced,0.4954521034609818,1
41,42415,Phoenix,Married,0.3863489098483155,1
49,44071,Chicago,Married,0.4501244324197596,0
64,78243,Los Angeles,Married,0.2269646943653641,1
39,61240,New York,Divorced,0.8893909161288442,0
40,103807,Los Angeles,Married,0.4506196567297579,0
19,53434,Los Angeles,Single,0.8824594404560998,0
44,89724,Phoenix,Single,0.105693479906274,0
59,95697,New York,Divorced,0.9882752710001314,1
19,48732,New York,Divorced,0.4432730874436182,0
43,31314,New York,Married,0.0478308203941054,1
34,43954,New York,Divorced,0.0380218482374549,1
57,77108,New York,Divorced,0.7462072574818386,0
50,107044,Phoenix,Single,0.6590355342036808,1
26,107505,Chicago,Single,0.8021305581275875,0
60,56668,Los Angeles,Married,0.1053675339528059,0
56,43061,New York,Divorced,0.0355708670355483,1
46,99252,Chicago,Divorced,0.5085792894475785,1
59,59749,Chicago,Single,0.3875952314827695,0
43,36907,Los Angeles,Divorced,0.4619469366709557,1
52,38777,Phoenix,Single,0.991588408870274,1
42,113229,Houston,Married,0.9707499576706702,1
41,71745,Houston,Single,0.9423153896731928,0
30,111865,Chicago,Divorced,0.7838426767676738,0
24,101818,Los Angeles,Married,0.3548413602568904,1
53,43624,Houston,Single,0.4121309302627716,1
62,43321,Chicago,Single,0.5496160437189245,1
37,30488,Phoenix,Married,0.8305344564048399,1
18,42574,Houston,Married,0.0687128325182677,1
25,25240,Chicago,Single,0.4242968858848881,0
63,63221,Chicago,Divorced,0.0826176634592686,1
33,30478,New York,Single,0.5146575865735116,0
31,75645,Phoenix,Married,0.8989008240062354,1
29,39262,New York,Single,0.7824849245639379,0
40,72796,Los Angeles,Married,0.2278424175431099,1
32,24432,New York,Married,0.9759908495987925,0
45,115257,New York,Divorced,0.6673503980464284,1
51,84291,Houston,Married,0.010427699397403,0
19,99104,Chicago,Married,0.2554134846852195,0
49,79399,Phoenix,Divorced,0.2607132999199165,0
40,99714,New York,Married,0.0692543062858599,0
39,70428,Phoenix,Divorced,0.959826518075929,0
42,107731,New York,Divorced,0.4782552945759237,0
39,20302,Los Angeles,Married,0.895814597371882,1
39,102558,New York,Married,0.3222155034446283,0
59,20055,Houston,Single,0.1252335704328271,1
23,28717,Chicago,Divorced,0.4743361099062139,1
32,48699,Los Angeles,Single,0.1139566347143171,1
60,93686,New York,Married,0.4860155029775399,1
54,87661,Phoenix,Single,0.9202971812194076,1
50,64247,Los Angeles,Divorced,0.5207681418342127,0
25,36748,Los Angeles,Single,0.6164997268950835,0
61,24621,New York,Divorced,0.1566384369738083,0
61,35034,Los Angeles,Married,0.0437356258799694,1
22,25126,Phoenix,Married,0.110807962179807,0
56,25122,Los Angeles,Divorced,0.5985315756843657,0
21,38030,Phoenix,Married,0.0950116989923046,0
23,102838,New York,Married,0.3759928899413114,0
62,104717,Chicago,Married,0.550091940458156,0
49,75658,Los Angeles,Married,0.388652798629847,1
47,58638,Chicago,Divorced,0.1636838014653014,0
64,87067,Phoenix,Single,0.2737913075141065,1
52,108869,Los Angeles,Single,0.928317532848577,1
57,54674,Houston,Married,0.6759822755863554,1
33,55854,Chicago,Single,0.4960478386798865,1
30,66271,Los Angeles,Single,0.0127148899868935,1
59,93688,Chicago,Married,0.9924154004894702,0
47,58518,Los Angeles,Married,0.6714549348946433,0
36,30267,New York,Single,0.3169224773449449,0
34,110825,Chicago,Divorced,0.8792686599978382,1
36,21062,Houston,Married,0.2584316202918181,0
45,70448,Houston,Divorced,0.5440165791827516,0
43,115462,Phoenix,Single,0.6360707637298251,1
54,26229,Los Angeles,Married,0.2210633714537284,1
43,76793,Chicago,Divorced,0.978397278800596,1
40,67915,Phoenix,Married,0.7481919059789975,1
26,24632,Chicago,Single,0.5578132255110699,0
29,23596,Los Angeles,Divorced,0.1805945981753008,1
18,26168,Houston,Single,0.0538582069980261,1
18,27561,New York,Single,0.3200598325209834,0
64,93794,Houston,Married,0.7531873359134028,0
51,102152,Phoenix,Divorced,0.269331298302025,1
49,46734,New York,Single,0.5395562204955051,0
42,26371,Phoenix,Single,0.7279471767307432,1
57,46069,Los Angeles,Divorced,0.1079437146464643,1
62,99905,New York,Single,0.6852980161158734,0
18,32910,Phoenix,Single,0.0918708877100447,0
33,93479,Los Angeles,Divorced,0.9651297421269964,1
56,97735,Houston,Divorced,0.4883941300649396,1
22,101264,Los Angeles,Divorced,0.1506761077098773,1
39,43275,Chicago,Divorced,0.3423836360335465,0
46,92274,Los Angeles,Married,0.4134164492952614,1
20,101449,Los Angeles,Divorced,0.7581850110765374,1
29,80004,Chicago,Married,0.7434237860766093,1
43,82981,Phoenix,Married,0.611940505337331,1
33,104659,Phoenix,Married,0.1059307125584929,1
54,74553,Los Angeles,Single,0.1515693715876735,0
39,68447,Chicago,Married,0.0937569206455566,1
46,54529,Chicago,Married,0.5771727832875501,1
31,95703,Houston,Single,0.877138441511404,1
45,96090,Phoenix,Single,0.4338005122547718,1
22,37260,New York,Single,0.1608481739577462,0
64,23812,Phoenix,Divorced,0.558042325148967,0
47,48024,Phoenix,Single,0.8117522168657099,0
63,78656,Houston,Single,0.74171206151293,1
22,47285,New York,Married,0.8814507796750214,1
29,112436,Houston,Single,0.2779020972488678,0
33,21605,New York,Divorced,0.1939538672677748,0
43,91158,Los Angeles,Single,0.8798164859419387,0
43,92303,New York,Divorced,0.6575603127780231,1
38,47139,Houston,Single,0.3109289300075541,1
56,97149,Phoenix,Single,0.7423480505725092,0
53,76138,New York,Single,0.8151183844803679,0
50,96125,New York,Single,0.6149782403411324,0
47,33918,Chicago,Divorced,0.6878841098799151,1
54,105655,Phoenix,Divorced,0.3752599044426663,1
40,47446,Los Angeles,Married,0.5386956673430391,1
27,33046,Houston,Divorced,0.5241591707261622,0
22,44818,Los Angeles,Single,0.8480477911307719,0
53,24324,Phoenix,Married,0.8399639802821826,1
51,96323,New York,Married,0.8326804693470432,0
48,29111,New York,Married,0.0110316142624657,1
27,58110,Phoenix,Single,0.7495454844688882,0
36,36389,New York,Divorced,0.7586763901110049,0
49,61427,New York,Single,0.6783788228551418,0
18,99579,New York,Married,0.7562646578914526,0
22,48746,Houston,Single,0.8419703714967087,1
62,107886,Houston,Single,0.4703190541017856,0
21,20117,Chicago,Divorced,0.5020502134884471,1
33,104471,Los Angeles,Divorced,0.1247140569113904,1
41,33234,Phoenix,Married,0.3853758830473618,1
33,73441,Phoenix,Single,0.6433651799117843,0
19,20846,Phoenix,Single,0.7803997761472745,1
45,30954,Chicago,Divorced,0.2172090976912105,1
49,99239,Houston,Single,0.1378228991592354,1
44,66514,Chicago,Single,0.6630420045004922,0
37,108236,Phoenix,Single,0.0018798835249106,0
41,117579,Los Angeles,Divorced,0.1783725843073298,1
29,26469,New York,Married,0.0290713803439537,0
52,50105,Houston,Married,0.1668851178548709,1
50,62101,Houston,Single,0.1813192799255052,1
